137004086	lakoissa	lakko|lakka	lakka	Liuottimien ja vaarallisten aineiden määrää maaleissa ja	lakoissa	on vähennettävä , mutta siihen tarvitaan suunnitelmaa , joka on mahdollista toteuttaa myös käytännössä .
206429288	huvin	huvi|hupi	huvi	Jotkut ihmiset ilmeisesti nauttivat jääkarhujen ampumisesta	huvin	vuoksi , mitä pidän todella kuvottavana .
89714192	huvin	huvi|hupi	huvi	Emme asetu uhmaamaan mitään tahoa pelkän	huvin	vuoksi , vaan ainoastaan silloin , kun olemme sitä mieltä , että komissio on oikeassa ja että ministerineuvosto tai sen enemmistö ovat väärässä .
54808562	huvin	huvi|hupi	huvi	Kuten tiedätte , olen tehnyt täällä ollessani näiden työjärjestyspuheenvuorojen pitämisestä suuren	huvin	.
225373918	korvin	korva|korpi	korva	Olin täällä ja kuulin sen omin	korvin	!
113743916	korvin	korva|korpi	korva	Koska kuuntelin keskustelua myös ikään kuin kollegani Barnierin	korvin	, haluaisin vastata lyhyesti rakennerahastoja koskeviin huomautuksiin .
225373905	korvin	korva|korpi	korva	Olin täällä ja kuulin sen omin	korvin	.
27288596	korvilleni	korva|korpi	korva	Esittelijän toisena huolenaiheena on tehdä vuoden 1999 talousarviosta kansalaisten talousarvio ja tässäkin kohdassa hänen puheensa on kuin musiikkia	korvilleni	.
166328712	korvilleni	korva|korpi	korpi	Tämäniltainen keskustelu on kuin musiikkia	korvilleni	, sillä pääsy näin pitkälle on kestänyt kahdeksan vuotta ja siihen on tarvittu Humane Society Internationalin apua .
200385878	paikallisvaaleissa	paikallis#vaalea|paikallis#vaali	paikallis#vaali		paikallisvaaleissa	on ollut vilppiä ja kansalaisjärjestöjen toiminnassa on ongelmia .
115863752	paikallisvaaleissa	paikallis#vaalea|paikallis#vaali	paikallis#vaali	Vapaa liikkuvuus , äänioikeus ja vaalikelpoisuus Euroopan parlamentin vaaleissa ja	paikallisvaaleissa	, vetoomusoikeus ja oikeus diplomaatti- ja konsuliviranomaisten antamaan suojeluun ovat peruuttamattomia askeleita eteenpäin , ja niillä on käytännön vaikutusta , josta on unionin kansalaisille selvää hyötyä .
124366477	paikallisvaaleissa	paikallis#vaalea|paikallis#vaali	paikallis#vaali	Äänioikeus	paikallisvaaleissa	on yksi osallistumisen tapa .
124366502	paikallisvaaleissa	paikallis#vaalea|paikallis#vaali	paikallis#vaali	Se , että heille annetaan äänioikeus	paikallisvaaleissa	, tarkoittaa heille myönnettävää lisäoikeutta , mutta sen saaminen tuo mukanaan myös velvollisuuksia .
78793625	paikallisvaaleissa	paikallis#vaalea|paikallis#vaali	paikallis#vaali	Arvoisa puhemies , koska tämän viikon istuntoon ei mahdu kiireellisten asioiden käsittelyä , haluaisin kiinnittää teidän ja parlamentin huomion ennennäkemättömiin väkivaltaisuuksiin ja vaalivilppeihin Himaren maakunnassa Albanian	paikallisvaaleissa	.
35548890	tulkkauskoppien	tulkkaus#koppi|tulkkaus#koppa	tulkkaus#koppi	Hyvät jäsenet , olemme päässeet kyselytunnin loppuun 13 minuuttia ennakoidusta aikataulusta myöhässä , jolloin olemme pitkittäneet yhteistyökumppaniemme ja erityisesti	tulkkauskoppien	työtä .
192645779	takuille	takuu|takku	takuu	Euroopan investointipankin tarjoamille	takuille	on asetettu monia lisäehtoja , jotta ihmisoikeudet ja tasa-arvoista kehitystä koskevat näkökohdat otetaan huomioon .
33325133	takuille	takuu|takku	takuu	Lopuksi niiden perinpohjaisten muutosten vuoksi , joita teknologiset muutokset ja maailmanlaajuistuminen aiheuttavat työmarkkinoilla , nämä ammatilliset järjestäytymisoikeudet on välttämätöntä vahvistaa Euroopan unionin perustamissopimuksissa ja luoda ylikansalliset yhteisön kehykset niille	takuille	ja säännöksille , jotka antavat työmarkkinaosapuolille mahdollisuuden käydä sopusointuisia neuvotteluja Euroopan tasolla .
84050858	takuille	takuu|takku	takuu	Toiseksi jotkut tulliviranomaiset eivät pysty - oletan mieluummin näin kuin ajattelen , että he eivät tee yhteistyötä - tarkastamaan tehokkaasti sitä , täytetäänkö yhteisön lainsäädännössä	takuille	asetetut ehdot , koska heidän järjestelmissään ja menetelmissään tai tilinpidon järjestelyissä on puutteita .
45448686	leikkeihin	leikki|leike	leikki	Olen liian vanha näihin pikku	leikkeihin	, eivätkä ne enää edes huvita minua .
50436179	leikkeihin	leikki|leike	leikki	Ja sanon näin , koska herra esittelijä on nyt auliisti hyväksynyt ne tarkistukset , joita esitti rouva Oddy , kollega ryhmästäni oikeusasioita ja kansalaisten oikeuksia käsittelevässä valiokunnassa , ja joita esittävät nyt liberaalijäsenet rouva Thors ja rouva Riis-Jørgensen , koska nämä kaksi tarkistusta koskevat erästä	leikkeihin	liittyvää asiaa - on harmi , että täällä ollut yleisö on lähtenyt , koska tämä asia koskee suoraan heitä - , nämä tarkistukset nimittäin koskevat leluja .
230680513	internetin	internet|internetti	internet	Mielestäni tärkeimmät edistysaskelet koskevat etämyynnin parempaa sääntelyä , erityisesti	internetin	välityksellä ( III luku ) , sillä kuluttajan oikeuksia kyseisellä alalla on parannettava .
193644880	internetissä	internet|internetti	internet	Valitettavasti kohtaamme hyvin usein	internetissä	, aivan kuten kaikissa yhteiskunnissa , sen ikävän tosiasian , että tarvitaan säännöksiä varmistamaan myös niiden suojelu , jotka eivät pysty puolustautumaan .
193655866	internetin	internet|internetti	internet	Minun täytyy lopettaa sanomalla , että on taattava oikeus koulutukseen ja internetin käyttöön sekä	internetin	käyttäjien turvallisuuteen ja oikeuksien suojeluun .
21258669	internetin	internet|internetti	internet	Päinvastoin kuin esittelijä - sanoessani näin viittaan perustelujen C kohtaan - olen sitä mieltä , että kauppataistelu tulee raivoamaan internetin alalla pikemminkin kuin virtuaalilompakon alalla siitä yksinkertaisesta ja hyvästä syystä , että	internetin	alalla Yhdysvallat johtaa orkesteria .
190505792	internetissä	internet|internetti	internet	En kannata vaan pikemminkin vastustan	internetissä	pelattavia rahapelejä .
116913077	joulukuusi	joulu#kuusi|joulu#kuu	joulu#kuusi	Jos toivelistaamme on kerran verrattu ylikoristeltuun joulukuuseen , niin tällöin Johannesburgin tulosta voidaan kai verrata kuuseen , jossa ei ole neuloja mutta joka on siitä huolimatta	joulukuusi	.
159563090	joulukuusi	joulu#kuusi|joulu#kuu	joulu#kuusi	Minulle on syntynyt tänä iltapäivänä käytyjä keskusteluja kuunnellessani sellainen vaikutelma , että olemme kuin hyvin värikäs	joulukuusi	, jonka alle kaikki laittavat lahjansa , ja että huomaamme sekä omat lahjamme että muunkin osan puusta .
19611805	joulukuusi	joulu#kuusi|joulu#kuu	joulu#kuusi	Enää ei puutu kuin	joulukuusi	.
214203450	joulukuusi	joulu#kuusi|joulu#kuu	joulu#kuusi	Olen samaa mieltä siitä , että meidän pitäisi esittää poliittinen näkemys ja että meidän pitäisi kysellä myös joistakin muista asioista joita esittelijä pyytää , mutta minusta asiassa on erinäisiä seikkoja , joissa hän on ylittänyt roolinsa kyseisen valiokunnan esittelijänä , ja roolista on muotoutunut jonkinlainen hänen omien ideoidensa	joulukuusi	.
56721756	joulukuusi	joulu#kuusi|joulu#kuu	joulu#kuusi	Jonakin päivänä ilmaan tuprahtaa savupilvi , kuuluu kova pamaus , ja yksi parlamentin jäsenistä syttyy palamaan niin kuin	joulukuusi	.
96855636	ajoista	ajo|aika	aika	Noista	ajoista	asti olen ollut sitä mieltä , että alan sääntelyn yhteensovittamista on ehdottomasti parannettava Euroopan tasolla , ei vain Euroopan kansalaisuuden vuoksi , joka velvoittaa yhtäläiseen suhtautumiseen ihmisten terveyttä koskeviin ongelmiin Euroopassa , vaan myös siksi , että yhteiset säännöt ovat välttämättömiä vakavien sairauksien - aidsin ja BSE:n - sekä sellaisten maailmanlaajuisten verimarkkinoiden vuoksi , joiden yhteydessä on myös otettava huomioon tieteellinen kehitys ( keinoveri , kantasolujen tuottama ihmisveri ) .
175979852	ajoista	ajo|aika	aika	Arvoisa puhemies , mielestäni asia , josta äänestämme huomenna , on historiallinen , koska posti on ollut julkinen palvelu alkuajoista lähtien , erityisesti hallitsijoiden	ajoista	.
166324283	ajoista	ajo|aika	aika	Olemme edistyneet niistä	ajoista	.
158406237	ajoista	ajo|aika	aika	Kemikaalien maailma ja usko turvallisuuteen ovat muuttuneet oleellisesti Seveson ja Bhopalin onnettomuuksien	ajoista	.
66403881	ajoista	ajo|aika	aika	Syynä on Grotiuksen	ajoista	lähtien harjoitettu hollantilainen meri-imperialismi , jolla estetään kaikki kehitys Rotterdamin säästämiseksi .
233974135	Japanin	Japan|Japani	Japani	päivänä 2011 Eurooppa-neuvosto korosti EU:n ja	Japanin	suhteiden ratkaisevaa merkitystä ja vahvisti , että ” Tulevan huippukokouksen tarjoamaan tilaisuuteen on tartuttava tämän suhteen vahvistamiseksi ja yhteisten asioiden käsittelemiseksi ” .
13675329	Japanin	Japan|Japani	Japani	Tämä on erittäin tärkeää , sillä se osoittaa , että Euroopan unioni on valmis osallistumaan yhdessä Yhdysvaltojen ,	Japanin	ja Korean kanssa järjestelyihin , jotka maksavat meille jonkin verran mutta joilla on suuri merkitys alueen turvallisuuden kannalta .
214593563	Japanin	Japan|Japani	Japani	Eurooppalaisten lukutaitoa on parannettava , sillä tässä suhteessa Eurooppa on pahasti Yhdysvaltojen ja	Japanin	jäljessä .
231377486	Japanin	Japan|Japani	Japani	Toisaalta	Japanin	katastrofi , erityisesti Fukushiman onnettomuus ja sitä seurannut hätätila , on palauttanut asialistalle kysymyksen ydinenergian tarpeesta ja sen seurauksista .
230504085	Japanin	Japan|Japani	Japani	Vapaakauppasopimus voisi muodostua yhdeksi välineeksi	Japanin	kolmannessa alussa , joksi Japanin pääministeri on tilannetta värikkäästi nimittänyt .
33269633	luonnekin	luonne|luo	luonne	Niiden	luonnekin	on toisinaan ristiriitainen .
71350997	luonnekaan	luonne|luo	luonne	Sitä vasta laaditaan parhaillaan , eikä tämän kirjan oikeudellinen	luonnekaan	ole vielä selvillä .
206883265	kotien	koti|kota	koti	Syy on se , että usein rakennusten ja	kotien	omistajat eivät kykene kattamaan yhteisrahoitusta omista varoistaan eivätkä saamaan pankista luottoa sitä varten .
48024765	kotiensa	koti|kota	koti	Paljasjalkaisilla lapsilla ei ole kenkiä , jotka jalassa he voisivat kiivetä entisten	kotiensa	raunioille , ja ihmishenkiä on menetetty .
206705478	kotien	koti|kota	koti	Minun mielestäni etnisten kroaattien ja etnisten serbien sovinto , vähemmistöjen oikeuksien turvaamisen parantuminen ja pakolaisten kotouttaminen , mukaan luettuna	kotien	rakentaminen , ansaitsevat erityisesti kiitosta .
220873140	kotien	koti|kota	koti	Esitin tarkistuksen , jonka mukaan hallintokustannuksien ja rahoitusvälineen luomisesta ja toteuttamisesta aiheutuvien kustannuksien ei pidä ylittää viittä prosenttia kunkin käyttötarkoituksen arvosta , jotta suurin osa varoista ei päädy rahoituksen välittäjille vaan ne investoidaan hankkeisiin , jotka liittyvät	kotien	energiatehokkuuteen ja uusiutuvien energiavarojen käyttöön .
135332004	kotien	koti|kota	koti	Tuhoutuneiden	kotien	, tehtaiden ja infrastruktuurin jälleenrakentaminen hellekesän seurauksista kärsineillä alueilla kestää vuosia , eivätkä ihmiset pysty siihen yksin .
177841657	Perustajaisiemme	perustaja#isä|perustaja#isi	perustaja#isä		Perustajaisiemme	meille perinnöksi jättämä toimielinkolmio on maailmassa ainutlaatuinen malli , joka on todellakin osoittanut elinkelpoisuutensa ja vahvuutensa 50 vuodessa .
90835961	vapisemaan	vapista|vavista	vavista	Oli hyvä asia , että tupakkateollisuus ei onnistunut saamaan parlamentin ja muiden käsiä	vapisemaan	oikeusperustaan liittyvässä kysymyksessä .
35701141	vapisemaan	vapista|vavista	vavista	Arvoisa puhemies , arvoisa neuvoston puheenjohtaja , arvoisat komissaarit , kesän juuri alettua saimme vielä nauttia erinomaisen terveestä taloudesta , kunnes vähän aikaa sitten Tyyneltämereltä puhaltava tuuli toi meille aasialaisen flunssan , tartutti Pohjois-Amerikan , työntyi Etelä-Amerikkaan ja sai koko maapallomme	vapisemaan	.
99612024	vapisemaan	vapista|vavista	vavista	Se saa vakaankin käden	vapisemaan	.
17591623	vapisemaan	vapista|vavista	vavista	Emme saa joutua	vapisemaan	pelosta ennen kuin nousemme linja-autoon , lentokoneeseen tai laivaan .
2494853	vapisee	vapista|vavista	vavista	Arvoisa puhemies , Afrikan sydän	vapisee	ja tärisee väkivallasta .
148746139	järkeenkäyvät	järkeenkäyvä|järkeenkäypä	järkeenkäypä	Mutta meidän on oltava samaa mieltä myös siitä , että meidän on erittäin tarpeellista turvata toimitusvarmuus ,	järkeenkäyvät	hinnat ja vakaus , koska monet unionin kansalaiset eivät vielä ole voineet nauttia yhtenäismarkkinoiden eduista .
199961565	järkeenkäyvät	järkeenkäyvä|järkeenkäypä	järkeenkäypä	Heidän äänestysprosenttinsa edellisissä vaaleissa oli yksinumeroinen , ja siihen on	järkeenkäyvät	syyt .
70917777	järkeenkäyvältä	järkeenkäyvä|järkeenkäypä	järkeenkäypä	Tämä tarkoittaa sitä , että aikomuksenamme oli hyväksyä kaikki se , mikä tuntui	järkeenkäyvältä	ja tehdä tarkistuksia vain siltä osin , kuin se oli aivan välttämätöntä ja vieläpä erittäin maltillisesti .
98891435	järkeenkäyvintä	järkeenkäyvä|järkeenkäypä	järkeenkäypä	Se olisi heiltä kaikkein	järkeenkäyvintä	.
99558978	järkeenkäyvältä	järkeenkäyvä|järkeenkäypä	järkeenkäypä	Vähittäismyynnin , palvelun ja tuotannon parissa työskentelevistä tuntuu varmasti	järkeenkäyvältä	, etteivät he joudu enää lukemaan tiedotusvälineistä , miten heidän käy tulevaisuudessa , vaan että he voivat myönteisen neuvottelujärjestelmän avulla saada tietoa siitä , mitä heille ja heidän perheilleen tapahtuu .
203752081	Kullan	Kulta|Kulla	Kulta		Kullan	laittoman kaupan seurauksena Kongosta viedään vuosittain laittomasti yli 37 tonnia kultaa , jonka arvo ylittää 1 miljardi euroa .
41144466	Kullan	Kulta|Kulla	Kulta		Kullan	hinta vaihtelee kysynnän ja tarjonnan mukaan .
41305649	Kullan	Kulta|Kulla	Kulta		Kullan	hinta nousisi ja laskisi edelleen .
9196512	Kullan	Kulta|Kulla	Kulta		Kullan	hinnan uudelleenarviointia koskevien erimielisyyksien tai Ranskan vaalien tulosten ei tulisi viivyttää EMU:n seuraavaa vaihetta .
68126044	salvat	salva|salpa	salpa	Näyttää siltä , että Ludfordin rasismin ja muukalaisvihan torjuntaa koskevaa mietintöä , kuten Haarderin samanaikaista ihmisoikeuksia Euroopan unionissa koskevaa mietintöä on innoittanut pahahenki , joka inhimilliseen arvokkuuteen liittyvien oikeuksien oikeutetusta suojelusta huolimatta ajaa niitä poistamaan järjestelmällisesti yksi kerrallaan kaikki kansalaisuutta koskevat	salvat	, oli kyse sitten kansallisesta tai jopa Euroopan kansalaisuudesta .
222228578	tukitoiminnoista	tuki#toiminto|tuki#toiminta	tuki#toiminta	Tämän lisäyksen täytyy johtua ainakin osaksi	tukitoiminnoista	.
212265117	Marit	Mar|Mari	Marit	Esityslistalla on seuraavana	Marit	Paulsenin maatalouden ja maaseudun kehittämisen valiokunnan puolesta laatima mietintö eläinten hyvinvoinnin toimintasuunnitelman 2006-2010 arvioinnista .
77943509	Marit	Mar|Mari	Marit	Tässä työssä	Marit	Paulsen on ollut kiitettävästi mukana laatimalla mietinnön haitallisista aineista rehuissa sekä rehuja koskevasta valvonnasta .
118702271	Marit	Mar|Mari	Marit	Kysymyksen nro 48 esittäjä	Marit	Paulsen ( H-0660/ 02) :
156943759	Maria	Mar|Mari	Mari	Haluan onnitella Joan i	Maria	hänen tärkeästä ja ajankohtaisesta mietinnöstään , joka koskee uutta monikielisyyden strategiakehystä , jolle annan täyden tukeni .
120146491	Marini	Mar|Mari	Marini 	suullisen kysymyksen ( O- 0083/02 - B5-0502/ 02) esittäjät Mariotto Segni , William Abitbol , Teresa Almeida Garretti , Guido Bodrato , Juan José Bayona De Perogordo , Jean-Louis Bourlanges , Luigi Cocilovo , Gerard Collins , Thierry Cornillet , Paul Coûteaux , Brian Crowley , Luigi Ciriaco De Mita , Gérard M. J. Deprez , Giorgos Dimitrakopoulos , Carlo Fatuzzo , Fernando Fernández Martín , Concepció Ferrer , Jim Fitzsimons , Konstantinos Hatzidakis , Liam Hyland , Florence Kuntz , Franco	Marini	, Mario Clemente Mastella , Reinhold Messner , Juan Ojeda Sanz , Seán Ó Neachtain , Marcelino Oreja Arburúa , José Pacheco Pereira , Giuseppe Pisicchio , María Antonia Avilés Perea , José Javier Pomés Ruiz , Bartho Pronk ja Lennart Sacrédeus - Tiedotusvälineiden keskittyminen ja moniarvoisuus
164483340	parissa	par|pari	pari	Arvoisa puhemies , kollegani ja ystäväni , jäsen Rocard sallinee minun aloittaa tarkastelemalla yhtä hyvin tärkeää aihetta , jonka	parissa	jäsen De Keyser on työskennellyt tiiviisti viime kuukausien ja vuosien aikana ja joka koskee palestiinalaisalueita .
92365502	parissa	par|pari	pari	Toisin kuin kollega Stauner olen vakuuttunut , että hän on tehnyt Euroopan komission kertomuksen	parissa	hyvin luovaa työtä .
109457515	parissa	par|pari	pari	Se osoittaa erityisesti , että kielipolitiikkaamme on lähestulkoon mahdotonta sovittaa yhteen patenttien käyttäjien ja niiden	parissa	työskentelevien ihmisten tarpeiden kanssa .
205591302	parissa	par|pari	pari	Olen työskennellyt yhteispäätösmenettelyä koskevan lainsäädännön	parissa	yli 10 vuoden ajan .
33063130	parissa	par|pari	pari	Ikävä kyllä ongelmia esiintyy yhä tällä alalla , ja useimmat parlamentin jäsenet saavat tehdä yksilökohtaista työtä tämän asian	parissa	.
156128663	leipä	leipä|lei	leipä	Kaikki täällä parlamentissa myöntävät maidontuotannon arvon kaikille jäsenvaltioillemme - aivan erityisesti kotiseudullani Englannin länsiosassa , jossa maitotalous on koko alueen jokapäiväinen	leipä	mutta jossa siihen kohdistuu myös valtavia paineita .
180345652	leipä	leipä|lei	leipä	Energia ja	leipä	ovat nyt vastakkain .
68973472	leipä	leipä|lei	leipä	Sitä käytetään , jotta gluteeniton	leipä	ja gluteenittomat leivonnaiset eivät murenisi ja jotta se melko pieni ryhmä , joka ei siedä gluteenia , voisi syödä leipää ja leivonnaisia , jotka ovat muodoltaan samanlaisia kuin terveille ihmisille tarkoitetut leivät ja leivonnaiset .
225916145	leipä	leipä|lei	leipä	ne ovat elämä , rauha ,	leipä	ja uskonvapaus .
68973578	leipä	leipä|lei	leipä	Erityisesti gluteenia sietämättömien lasten kannalta on tärkeää , että	leipä	pysyy koossa , eikä sitä tarvitse syödä lusikalla sen vuoksi , että se on hajonnut lukuisiksi pieniksi mureniksi .
5389089	konfliktitilanne	konflikti#tilanne|konflikti#tila	konflikti#tilanne	On selvää , että laajentuva	konfliktitilanne	on ottanut rauhansopimuksen ja rauhaan johtavan tien paikan .
65950527	konfliktitilanne	konflikti#tilanne|konflikti#tila	konflikti#tilanne	Saavuin Baskimaahan ja halusin vilpittömästi sopeutua yhteiskuntaan , ja huolimatta siitä , mitä minulle on tapahtunut , olen edelleenkin vakuuttunut siitä , että jonain päivänä Baskimaa saavuttaa haluamansa rauhan , sillä niille , jotka ovat sitä mieltä , että Baskimaassa on	konfliktitilanne	, sanon , että ainoa konflikti Baskimaassa on ETA , ja sen toiminnan on loputtava .
70627366	konfliktitilanne	konflikti#tilanne|konflikti#tila	konflikti#tilanne	Tämän asetuksen ansiosta olemme voineet toimia sellaisissa maissa , joissa on paha	konfliktitilanne	ja joissa tehdään vakavia ihmisoikeusrikkomuksia .
114028001	Eurooppa-vaaleihin	Eurooppa#vaali|Eurooppa#vaalea	Eurooppa#vaali	Nyt 10 maalla on todella hyvät mahdollisuudet liittyä uusina jäsenvaltioina unioniin vuonna 2004 ja osallistua tuona vuonna järjestettäviin	Eurooppa-vaaleihin	.
9768358	Eurooppa-vaaleihin	Eurooppa#vaali|Eurooppa#vaalea	Eurooppa#vaali	Arvoisa puhemies , päivää aiemmin alahuoneessa sisäministeri Jack Straw , joka vastaa vaalisäännöistä , sanoi , ettei ohjelmaan sisälly sitoumusta ottaa käyttöön suhteellista edustusta tai alueellisiin listoihin perustuvaa järjestelmää vuoden 1999	Eurooppa-vaaleihin	mennessä .
61520624	Eurooppa-vaaleissa	Eurooppa#vaali|Eurooppa#vaalea	Eurooppa#vaali	Tämänvuotisissa	Eurooppa-vaaleissa	näimme hyvin selvästi , että ihmiset eivät enää aio äänestää , ellei ole enää heidän vallassaan päättää siitäkin , mitä tulevaisuudessa tapahtuu .
43934854	Eurooppa-vaaleissa	Eurooppa#vaali|Eurooppa#vaalea	Eurooppa#vaali	Skotlantilaisen sosialistipuolueen ykkösehdokkaana tulevissa	Eurooppa-vaaleissa	, jossa varmistan paluuni ensi vuonna , pidän tätä erityisen myönteisenä .
131141749	Eurooppa-vaaleissa	Eurooppa#vaali|Eurooppa#vaalea	Eurooppa#vaali	Emme voi vakavissamme pyytää ihmisiä kannattamaan meitä ensi vuonna järjestettävissä	Eurooppa-vaaleissa	ja samalla teeskennellä , ettei meillä ole mitään roolia ja ettei meillä ole mitään sanottavaa siitä , mihin suuntaan maailma on menossa .
240200989	taloustilanne	talous#tila|talous#tilanne	talous#tilanne	Nykyinen	taloustilanne	on nähtävä mahdollisuutena muotoilla uudelleen näkökohdat , joista voidaan tehdä tehokkaampia , ja mahdollisuutena entistä oikeutetummin torjua tehokkaasti kaikkea ajan ja varojen hukkaan heittämistä .
206349659	taloustilanne	talous#tila|talous#tilanne	talous#tilanne	Joidenkin euroalueen maiden	taloustilanne	, jota on tänään käsitelty , tuo selvästi esiin ne riskit , joita etääntyminen vakaus- ja kasvusopimuksen tavoitteista aiheuttaa .
118178199	taloustilanne	talous#tila|talous#tilanne	talous#tilanne	Kun otetaan huomioon Euroopan yleinen huono	taloustilanne	ja korkea työttömyys , vakauskriteerejä pitäisi kuitenkin olla mahdollista pohtia uudelleen tai tarkentaa juuri siitä syystä , että näin euro pidetään vahvana .
40665003	taloustilanne	talous#tila|talous#tilanne	talous#tilanne	Perusajatuksena on se , että työpaikkojen luominen , Euroopan keskeinen huolenaihe , saadaan aikaan vakaalla ja kestävällä tavalla vain , jos sen perustana ovat todella kilpailukykyinen talous ja - vaikka Euroopan unionilla ei valitettavasti vielä ole avoimen talouden edellyttämän kilpailukyvyn tason kannalta riittäviä ominaisuuksia - niin sanottu globaali tai kansainvälistynyt	taloustilanne	.
211994790	taloustilanne	talous#tila|talous#tilanne	talous#tilanne	Kreikan	taloustilanne	on epäilemättä herättänyt suuria tunteita .
37508257	myrskyisimpiä	myrskyisä|myrskyinen	myrskyinen	Skotlannin vesialue on yhteisön	myrskyisimpiä	, mutta saaristolaisilla ei ole varteenotettavaa vaihtoehtoa .
240337930	myrskyisiä	myrskyisä|myrskyinen	myrskyinen	EU ja euro elävät	myrskyisiä	aikoja , ja tarvitsemme Kreikan ongelmiin nopeasti rakenteellisen ratkaisun .
86453039	myrskyisillä	myrskyisä|myrskyinen	myrskyinen	Esittelijä on osannut luovia taitavasti näillä	myrskyisillä	vesillä ;
132954994	myrskyisiä	myrskyisä|myrskyinen	myrskyinen	Euroopan tekstiili- ja vaatetusala on joutunut kohtaamaan monia vaarallisia ja	myrskyisiä	tilanteita .
120458123	myrskyisiä	myrskyisä|myrskyinen	myrskyinen	Välistä hallitukset ja sisäpolitiikka ovat saaneet kokea	myrskyisiä	hetkiä , mutta olemme pysyneet lujina .
18713244	korvilla	korpi|korva	korva	Herra komissaari , olen erittäin iloinen saadessani puhua teille hollantia , vaikka teillä onkin vielä kuulokkeet	korvilla	, ja vielä hauskempaa minusta on , että ulkomaan komissaarin on nyt kuunneltava kotimaata .
124704060	korville	korpi|korva	korva	Mitä tulee esittelijän puheenjohtajavaltio Kreikalle esittämään kehotukseen estää Prestige-aluksen kaltaisten onnettomuuksien toistuminen , totean pelkääväni pahoin tuon kehotuksen kaikuvan kuuroille	korville	, sillä puheenjohtajavaltio Kreikka ei ole koskaan salaillut yhteyksiään laivaliikenteeseen .
160467340	korville	korpi|korva	korva	Vaatimuksemme kuolemanrangaistuksen lakkauttamisesta ovat myös monissa muissa maissa kaikuneet tähän asti kuuroille	korville	.
155895321	korville	korpi|korva	korva	Muistamme vielä nytkin hyvin toukokuussa 2005 tapahtuneen Andijanin verilöylyn , varsinkin kun näyttää siltä , että YK:n , EU:n ja muiden elinten esittämät lukuisat pyynnöt riippumattomien tutkimusten järjestämisestä ovat kaikuneet kuuroille	korville	.
165889918	korville	korpi|korva	korva	Tänään esittämänne mielipiteenne eivät kuitenkaan kaikuneet kuuroille	korville	.
137062057	putkiksi	putki|putka	putki	Se on muutettava konkreettisesti tietyksi määräksi uusia maahan porattavia kaivoja tai	putkiksi	tai muiksi tarvikkeiksi , joita tarvitaan tehokkaan jätevesihuollon järjestämiseksi köyhille ihmisille .
198865084	putkista	putki|putka	putki	Jokainen , joka uskoo voivansa luottaa keskusteluun	putkista	, on väärässä , sillä jos pyrimme vähempään riippuvuuteen , meidän on pidettävä eri vaihtoehdot auki - mukaan lukien nesteytetty maakaasu - ja käsiteltävä niitä .
47588805	putkissa	putki|putka	putka	Näitä maahanmuuttajia pidetään jopa seitsemän kuukauden ajan poliisin	putkissa	tai vankiloissa , joissa he joutuvat kokemaan huonoa tai alentavaa kohtelua .
169421320	sotilashallintoja	sotilas#hallinto|sotilas#hallinta	sotilas#hallinta	Meidän on Euroopassa vastustettava Burman tyyppisiä	sotilashallintoja	riippumatta näiden maiden tai niiden suojelijoiden , kuten Kiinan , tarjoamista kaupallisista eduista ;
66762035	ydintoimintoihinsa	ydin#toiminto|ydin#toiminta	ydin#toiminta	Arvoisa komission puheenjohtaja , te ehdotitte edellisessä täällä parlamentissa tästä vastuusta pitämässänne puheessa , että komission pitäisi keskittyä jatkossa voimakkaammin	ydintoimintoihinsa	.
64362056	ydintoimintoja	ydin#toiminto|ydin#toiminta	ydin#toiminta	Haasteenamme on nyt rohkaistua ja siirtää mahdollisimman paljon muita kuin	ydintoimintoja	alemmille kansallisen , alueellisen ja paikallisen hallinnon tasoille .
54301554	ydintoimintoja	ydin#toiminto|ydin#toiminta	ydin#toiminta	Kuten olen jo toistuvasti sanonut , useimmat maaseudun kehittämishankkeet eivät voi onnistua ilman maanviljelyn	ydintoimintoja	, sillä ne eivät yksin riitä .
130805888	ydintoimintojensa	ydin#toiminto|ydin#toiminta	ydin#toiminta	Tulevaa laajentumista silmällä pitäen parlamentin on keskityttävä entistä enemmän	ydintoimintojensa	harjoittamiseen .
64331194	ydintoimintoihinsa	ydin#toiminto|ydin#toiminta	ydin#toiminta	Kun tarkastelemme kuvailemaanne verkkojen Eurooppaa , on erittäin tärkeää , että Eurooppa keskittyy	ydintoimintoihinsa	ja että meillä on rohkeutta ehdottaa alueita , joilta Eurooppa voisi kenties vetäytyä pois .
38739362	sillalla	silta|silla	silta	jos olisin 30 vuotta sitten seissyt tällä	sillalla	ja sanonut :
1944960	silloista	silta|silla	silloinen		silloista	EU:n komission puheenjohtajaa Jacques Delorsia .
79458946	silloissa	silta|silla	silta	Uusien poliittisten voimien , jotka hyväksytään täällä , tehtävänä ei ole vain poliittisen työn tekeminen vaan myös Naton käymän sodan tuhojen korjaaminen yrityksissä , kouluissa , sairaaloissa ,	silloissa	ja muissa , jälleenrakennus .
71447974	sillalla	silta|silla	silta	Arvoisa puhemies , arvoisa komission jäsen , kävin äskettäin vastarakennetulla Juutinrauman	sillalla	, joka yhdistää Ruotsin ja Tanskan .
